
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (13:20:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (13:20:37) | ===> btop++ v.1.4.0
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (13:20:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (14:46:42) | ===> btop++ v.1.4.0
2024/10/19 (14:46:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (14:46:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (14:46:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (14:46:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (14:46:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (15:09:41) | ===> btop++ v.1.4.0
2024/10/19 (15:09:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (15:09:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (15:09:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (15:09:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (15:09:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/19 (23:48:45) | ===> btop++ v.1.4.0
2024/10/19 (23:48:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/19 (23:48:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/19 (23:48:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/19 (23:48:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/19 (23:48:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (11:32:28) | ===> btop++ v.1.4.0
2024/10/20 (11:32:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (11:32:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (11:32:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (11:32:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (11:32:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (11:32:47) | ===> btop++ v.1.4.0
2024/10/20 (11:32:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
